Legend:
  ':' means that the register is kept alive, while it is not actively being used by the current instruction
  '^' means that the current instruction writes to the register
  'v' means that the current instruction reads from the register
  'x' means that the current instruction both reads from the register and writes to it
 'Rn': Number of live registers

  Line | Rn  |                                | Instruction
   360 |  24 | ::::::::::::::^::v::::  ::     | v_mov_b32 v14, v17
   361 |  24 | ::::::v:::::::::::::::  :x     | v_sub_nc_u32 v25, v6, v25
   362 |  23 | :::::: :::::::::::::::  ::     | s_waitcnt lgkmcnt(0)
   364 |  25 | :::::: ::::::::::::v:v  ::^^   | v_dual_mov_b32 v26, v19 :: v_dual_mov_b32 v27, v21
   365 |  26 | :::::: :::::::::::::::^ ::::   | v_cndmask_b32 v22, 0, 1, vcc_lo
   366 |  26 | :::::: v:::::::x::::::: ::::   | v_sub_co_ci_u32 v15, vcc_lo, v7, v15, vcc_lo
   367 |  25 | ::::::  ::::::::::::::: ::::   | s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)
   368 |  25 | ::v:::  ::::::::::::::x ::::   | v_add_co_u32 v22, s0, v22, v2
   369 |  25 | :: :::  :::::::::::::::^::::   | v_add_co_ci_u32 v23, null, 0, 0, s0
   370 |  25 | :: :::  ::::::::::::::::::::   | s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_2)
   371 |  25 | vv :::  ::::::::::::::vv::::   | v_cmp_gt_u64 vcc_lo, v[22:23], v[0:1]
   372 |  23 | ^: :::  v:::::::::::::  ::::   | v_mov_b32 v0, v8
   373 |  24 | ::^:::  ::::::::::::::  ::::   | v_cndmask_b32 v2, 0, 1, vcc_lo
   374 |  24 | ::::::  x:::::::v:::::  ::::   | v_sub_co_ci_u32 v8, vcc_lo, v8, v16, vcc_lo
   375 |  25 | ::v:::^ ::::::::v:::::  ::::   | v_add_co_u32 v6, s0, v2, v16
   376 |  23 | :: :::: :::::::: :::::  ::::   | s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)
   377 |  24 | :: ::::^:::::::: :::::  ::::   | v_add_co_ci_u32 v7, null, 0, 0, s0
   378 |  24 | vv :::vv:::::::: :::::  ::::   | v_cmp_gt_u64 vcc_lo, v[6:7], v[0:1]
   379 |  22 | ^: :::  :v:::::: :::::  ::::   | v_mov_b32 v0, v9
   380 |  23 | ::^:::  :::::::: :::::  ::::   | v_cndmask_b32 v2, 0, 1, vcc_lo
   381 |  23 | ::::::  :x:::::: v::::  ::::   | v_sub_co_ci_u32 v9, vcc_lo, v9, v17, vcc_lo
   382 |  22 | ::::::  ::::::::  ::::  ::::   | s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)
   383 |  23 | ::v:::^ ::::::v:  ::::  ::::   | v_add_co_u32 v6, s0, v2, v14
   384 |  22 | :: ::::^:::::: :  ::::  ::::   | v_add_co_ci_u32 v7, null, 0, 0, s0
   385 |  22 | :: ::::::::::: :  ::::  ::::   | s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_2)
   386 |  22 | vv :::vv:::::: :  ::::  ::::   | v_cmp_gt_u64 vcc_lo, v[6:7], v[0:1]
   387 |  20 | ^: :::  ::v::: :  ::::  ::::   | v_mov_b32 v0, v10
   388 |  21 | ::^:::  :::::: :  ::::  ::::   | v_cndmask_b32 v2, 0, 1, vcc_lo
   389 |  21 | ::::::  ::x::: :  v:::  ::::   | v_sub_co_ci_u32 v10, vcc_lo, v10, v18, vcc_lo
   390 |  22 | ::v:::^ :::::: :  v:::  ::::   | v_add_co_u32 v6, s0, v2, v18
   391 |  20 | :: :::: :::::: :   :::  ::::   | s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)
   392 |  21 | :: ::::^:::::: :   :::  ::::   | v_add_co_ci_u32 v7, null, 0, 0, s0
   393 |  21 | vv :::vv:::::: :   :::  ::::   | v_cmp_gt_u64 vcc_lo, v[6:7], v[0:1]
   394 |  19 | ^: :::  :::v:: :   :::  ::::   | v_mov_b32 v0, v11
   395 |  20 | ::^:::  :::::: :   :::  ::::   | v_cndmask_b32 v2, 0, 1, vcc_lo
   396 |  20 | ::::::  :::x:: :   v::  ::::   | v_sub_co_ci_u32 v11, vcc_lo, v11, v19, vcc_lo
   397 |  19 | ::::::  :::::: :    ::  ::::   | s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)
   398 |  20 | ::v:::^ :::::: :    ::  ::v:   | v_add_co_u32 v6, s0, v2, v26
   399 |  19 | :: ::::^:::::: :    ::  :: :   | v_add_co_ci_u32 v7, null, 0, 0, s0
   400 |  19 | :: ::::::::::: :    ::  :: :   | s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_2)
   401 |  19 | vv :::vv:::::: :    ::  :: :   | v_cmp_gt_u64 vcc_lo, v[6:7], v[0:1]
   402 |  17 | ^: :::  ::::v: :    ::  :: :   | v_mov_b32 v0, v12
   403 |  18 | ::^:::  :::::: :    ::  :: :   | v_cndmask_b32 v2, 0, 1, vcc_lo
   404 |  18 | ::::::  ::::x: :    v:  :: :   | v_sub_co_ci_u32 v12, vcc_lo, v12, v20, vcc_lo
   405 |  19 | ::v:::^ :::::: :    v:  :: :   | v_add_co_u32 v6, s0, v2, v20
   406 |  17 | :: :::: :::::: :     :  :: :   | s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)
   407 |  18 | :: ::::^:::::: :     :  :: :   | v_add_co_ci_u32 v7, null, 0, 0, s0
   408 |  18 | vv :::vv:::::: :     :  :: :   | v_cmp_gt_u64 s0, v[6:7], v[0:1]
   409 |  16 | ^: :::  :::::v :     :  :: :   | v_mov_b32 v0, v13
   410 |  16 | :: :::  :::::: :     :  :: :   | s_delay_alu instid0(VALU_DEP_2)
   411 |  17 | ::^:::  :::::: :     :  :: :   | v_cndmask_b32 v2, 0, 1, s0
   412 |  17 | ::::::  :::::x :     v  :: :   | v_sub_co_ci_u32 v13, vcc_lo, v13, v21, s0
   413 |  16 | ::::::  :::::: v        vv :   | ds_store_2addr_b32 v24, v25, v15
   414 |  14 | ::::::  vv::::          v  :   | ds_store_2addr_b32 v24, v8, v9
   415 |  12 | ::::::    vv::          v  :   | ds_store_2addr_b32 v24, v10, v11
   416 |  10 | ::::::      vv          v  :   | ds_store_2addr_b32 v24, v12, v13
   417 |   8 | ::v:::^                    v   | v_add_co_u32 v6, s5, v2, v27
   418 |   6 | :: ::::                        | s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)
   419 |   7 | :: ::::^                       | v_add_co_ci_u32 v7, null, 0, 0, s5
   420 |   7 | vv :::vv                       | v_cmp_gt_u64 vcc_lo, v[6:7], v[0:1]
   421 |   5 |  :^:::                         | v_cndmask_b32 v2, 0, 1, vcc_lo
   422 |   5 |  :::::                         | s_cbranch_scc1 _L186
   423 |   2 |     ::                         | label_170: s_or_b32 exec_lo, exec_lo, s2
   424 |   2 |     ::                         | s_lshr_b32 s0, s9, 3
   425 |   2 |     ::                         | s_waitcnt lgkmcnt(0)
   426 |   3 |   ^ :v                         | v_mul_lo_u32 v2, v5, s0
   427 |   2 |   : :                          | s_barrier
   428 |   2 |   : :                          | buffer_gl0_inv
   429 |   2 |   : :                          | s_mov_b32 s1, exec_lo
   430 |   3 |   v^:                          | v_add_nc_u32 v3, s0, v2
   431 |   2 |    ::                          | s_delay_alu instid0(VALU_DEP_1)
   432 |   3 |   ^v:                          | v_cmpx_lt_u32 v2, v3
   433 |   3 |   :::                          | s_cbranch_execz _L165
   434 |   3 |   :::                          | s_bfe_u32 s1, s9, 0x30003
   435 |   3 |   :::                          | s_delay_alu instid0(SALU_CYCLE_1)
   436 |   3 |   :::                          | s_cmp_eq_u32 s1, 0
   437 |   3 |   :::                          | s_cbranch_scc1 _L187
   438 |   4 |   v::^                         | v_lshl_add_u32 v5, v2, 2, s10
   439 |   5 |  ^::::                         | v_mov_b32 v1, 0
   440 |   6 |  ::::v  ^                      | label_188: ds_load_b32 v8, v5
   441 |   7 | ^:v:v:  :                      | v_add_nc_u32 v0, v4, v2
   442 |   7 | ::x:::  :                      | v_add_nc_u32 v2, 1, v2
   443 |   7 | :::::x  :                      | v_add_nc_u32 v5, 4, v5
   444 |   7 | ::::::  :                      | s_add_i32 s1, s1, -1
   445 |   7 | ::::::  :                      | s_delay_alu instid0(VALU_DEP_3) | instskip(SKIP_1) | instid1(VALU_DEP_1)
   446 |   9 | vv::::^^:                      | v_lshlrev_b64 v[6:7], 2, v[0:1]
   447 |   8 |  ::::::::                      | s_cmp_lg_u32 s1, 0
   448 |   8 |  :::::x::                      | v_add_co_u32 v6, vcc_lo, s6, v6
   449 |   8 |  ::::::::                      | s_delay_alu instid0(VALU_DEP_2)
   450 |   8 |  ::::::x:                      | v_add_co_ci_u32 v7, vcc_lo, s7, v7, vcc_lo
   451 |   8 |  ::::::::                      | s_waitcnt lgkmcnt(0)
   452 |   8 |  :::::vvv                      | global_store_b32 v[6:7], v8, off
   453 |   5 |  :::::                         | s_cbranch_scc1 _L188
   454 |   3 |   :::                          | label_187: s_add_i32 s0, s0, -1
   455 |   3 |   :::                          | s_delay_alu instid0(SALU_CYCLE_1)
   456 |   3 |   :::                          | s_cmp_lt_u32 s0, 7
   457 |   3 |   :::                          | s_cbranch_scc1 _L165
   458 |   4 |   v::^                         | v_lshl_add_u32 v5, v2, 2, s10
   459 |   5 |  ^::::                         | v_mov_b32 v1, 0
   460 |   5 |  :::::                         | s_mov_b32 s0, 0
   461 |   5 |  :::::                         | label_189: s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_2)
   463 |   7 | ^vv:v: ^                       | v_dual_mov_b32 v7, v1 :: v_dual_add_nc_u32 v0, v4, v2
   465 |   8 | :vx::: : ^                     | v_dual_mov_b32 v9, v1 :: v_dual_add_nc_u32 v2, 8, v2
   467 |  10 | vv::::^: : ^                   | v_dual_mov_b32 v11, v1 :: v_dual_add_nc_u32 v6, 1, v0
   468 |  12 | vv:::::: : :              ^^   | v_lshlrev_b64 v[26:27], 2, v[0:1]
   470 |  14 | vv::::::^: : ^            ::   | v_dual_mov_b32 v13, v1 :: v_dual_add_nc_u32 v8, 2, v0
   471 |  14 | :::::::::: : :            ::   | s_delay_alu instid0(VALU_DEP_4) | instskip(NEXT) | instid1(VALU_DEP_4)
   472 |  14 | ::vv:::::: : :            ::   | v_cmp_eq_u32 vcc_lo, v3, v2
   473 |  14 | ::::::xx:: : :            ::   | v_lshlrev_b64 v[6:7], 2, v[6:7]
   475 |  16 | vv::::::::^: : ^          ::   | v_dual_mov_b32 v15, v1 :: v_dual_add_nc_u32 v10, 3, v0
   476 |  16 | :::::::::::: : :          ::   | s_delay_alu instid0(VALU_DEP_4)
   477 |  16 | ::::::::xx:: : :          ::   | v_lshlrev_b64 v[8:9], 2, v[8:9]
   478 |  16 | :::::::::::: : :          ::   | s_or_b32 s0, vcc_lo, s0
   479 |  16 | :::::::::::: : :          x:   | v_add_co_u32 v26, vcc_lo, s6, v26
   481 |  18 | vv::::::::::^: :         ^::   | v_dual_mov_b32 v25, v1 :: v_dual_add_nc_u32 v12, 4, v0
   482 |  18 | :::::::::::::: :         ::x   | v_add_co_ci_u32 v27, vcc_lo, s7, v27, vcc_lo
   483 |  20 | :::::v:::::::: :^^       :::   | ds_load_2addr_b32 v[16:17], v5
   484 |  22 | :::::v:::::::: :::^^     :::   | ds_load_2addr_b32 v[18:19], v5
   485 |  24 | :::::v:::::::: :::::^^   :::   | ds_load_2addr_b32 v[20:21], v5
   486 |  26 | :::::v:::::::: :::::::^^ :::   | ds_load_2addr_b32 v[22:23], v5
   487 |  26 | ::::::::::xx:: ::::::::: :::   | v_lshlrev_b64 v[10:11], 2, v[10:11]
   488 |  26 | ::::::x::::::: ::::::::: :::   | v_add_co_u32 v6, vcc_lo, s6, v6
   489 |  27 | v:::::::::::::^::::::::: :::   | v_add_nc_u32 v14, 5, v0
   490 |  27 | :::::::x:::::::::::::::: :::   | v_add_co_ci_u32 v7, vcc_lo, s7, v7, vcc_lo
   491 |  27 | ::::::::::::xx:::::::::: :::   | v_lshlrev_b64 v[12:13], 2, v[12:13]
   492 |  27 | ::::::::x::::::::::::::: :::   | v_add_co_u32 v8, vcc_lo, s6, v8
   493 |  28 | v:::::::::::::::::::::::^:::   | v_add_nc_u32 v24, 6, v0
   494 |  28 | :::::::::x::::::::::::::::::   | v_add_co_ci_u32 v9, vcc_lo, s7, v9, vcc_lo
   495 |  28 | ::::::::::::::xx::::::::::::   | v_lshlrev_b64 v[14:15], 2, v[14:15]
   496 |  28 | ::::::::::x:::::::::::::::::   | v_add_co_u32 v10, vcc_lo, s6, v10
   497 |  28 | x:::::::::::::::::::::::::::   | v_add_nc_u32 v0, 7, v0
   498 |  28 | :::::::::::x::::::::::::::::   | v_add_co_ci_u32 v11, vcc_lo, s7, v11, vcc_lo
   499 |  28 | ::::::::::::::::::::::::xx::   | v_lshlrev_b64 v[24:25], 2, v[24:25]
   500 |  28 | ::::::::::::x:::::::::::::::   | v_add_co_u32 v12, vcc_lo, s6, v12
   501 |  28 | :::::::::::::x::::::::::::::   | v_add_co_ci_u32 v13, vcc_lo, s7, v13, vcc_lo
   502 |  30 | vv::::::::::::::::::::::::::^^ | v_lshlrev_b64 v[28:29], 2, v[0:1]
   503 |  29 |  :::::::::::::x::::::::::::::: | v_add_co_u32 v14, vcc_lo, s6, v14
   504 |  29 |  ::::::::::::::x:::::::::::::: | v_add_co_ci_u32 v15, vcc_lo, s7, v15, vcc_lo
   505 |  29 |  ::::x:::::::::::::::::::::::: | v_add_nc_u32 v5, 32, v5
   506 |  29 |  :::::::::::::::::::::::x::::: | v_add_co_u32 v24, vcc_lo, s6, v24
   507 |  29 |  ::::::::::::::::::::::::x:::: | v_add_co_ci_u32 v25, vcc_lo, s7, v25, vcc_lo
   508 |  29 |  :::::::::::::::::::::::::::x: | v_add_co_u32 v28, vcc_lo, s6, v28
   509 |  29 |  ::::::::::::::::::::::::::::x | v_add_co_ci_u32 v29, vcc_lo, s7, v29, vcc_lo
   510 |  29 |  ::::::::::::::::::::::::::::: | s_waitcnt lgkmcnt(3)
   511 |  29 |  ::::::::::::::::::::::::::::: | s_clause 0x1
   512 |  29 |  :::::::::::::::v:::::::::vv:: | global_store_b32 v[26:27], v16, off
   513 |  26 |  :::::vv:::::::: v::::::::  :: | global_store_b32 v[6:7], v17, off
   514 |  23 |  :::::  ::::::::  ::::::::  :: | s_waitcnt lgkmcnt(2)
   515 |  23 |  :::::  ::::::::  ::::::::  :: | s_clause 0x1
   516 |  23 |  :::::  vv::::::  v:::::::  :: | global_store_b32 v[8:9], v18, off
   517 |  20 |  :::::    vv::::   v::::::  :: | global_store_b32 v[10:11], v19, off
   518 |  17 |  :::::      ::::    ::::::  :: | s_waitcnt lgkmcnt(1)
   519 |  17 |  :::::      ::::    ::::::  :: | s_clause 0x1
   520 |  17 |  :::::      vv::    v:::::  :: | global_store_b32 v[12:13], v20, off
   521 |  14 |  :::::        vv     v::::  :: | global_store_b32 v[14:15], v21, off
   522 |  11 |  :::::                ::::  :: | s_waitcnt lgkmcnt(0)
   523 |  11 |  :::::                ::::  :: | s_clause 0x1
   524 |  11 |  :::::                v:vv  :: | global_store_b32 v[24:25], v22, off
   525 |   8 |  :::::                 v    vv | global_store_b32 v[28:29], v23, off
   526 |   5 |  :::::                         | s_and_not1_b32 exec_lo, exec_lo, s0
   527 |   5 |  :::::                         | s_cbranch_execnz _L189
   528 |   0 |                                | label_165: s_nop 0
   529 |   0 |                                | s_sendmsg sendmsg(MSG_DEALLOC_VGPRS)
   530 |   0 |                                | s_endpgm
   531 |   3 | :   ::                         | label_171: s_cbranch_execnz _L190
   532 |   3 | :   ::                         | s_branch _L180

Maximum # VGPR used  30, VGPRs allocated by HW:  32 (30 requested)

Architecture info:
  VGPRs total: 256
  VGPR allocation granularity: 16
